14.4040 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
623.3149 	EXP 	response: autoDraw = False
623.3150 	EXP 	window1: recordFrameIntervals = False
626.2593 	EXP 	response: autoDraw = True
627.9279 	EXP 	window1: recordFrameIntervals = False
627.9289 	DATA 	Keypress: s
627.9307 	EXP 	response: autoDraw = False
627.9309 	EXP 	window1: recordFrameIntervals = False
630.8756 	EXP 	response: autoDraw = True
632.0273 	EXP 	window1: recordFrameIntervals = False
632.0282 	DATA 	Keypress: s
632.0301 	EXP 	response: autoDraw = False
632.0302 	EXP 	window1: recordFrameIntervals = False
634.9749 	EXP 	response: autoDraw = True
636.6276 	EXP 	window1: recordFrameIntervals = False
636.6285 	DATA 	Keypress: s
636.6303 	EXP 	response: autoDraw = False
636.6305 	EXP 	window1: recordFrameIntervals = False
639.5745 	EXP 	response: autoDraw = True
641.1767 	EXP 	window1: recordFrameIntervals = False
641.1775 	DATA 	Keypress: s
641.1792 	EXP 	response: autoDraw = False
641.1794 	EXP 	window1: recordFrameIntervals = False
644.1241 	EXP 	response: autoDraw = True
646.3430 	EXP 	window1: recordFrameIntervals = False
646.3440 	DATA 	Keypress: s
646.3457 	EXP 	response: autoDraw = False
646.3458 	EXP 	window1: recordFrameIntervals = False
649.2901 	EXP 	response: autoDraw = True
650.2597 	EXP 	window1: recordFrameIntervals = False
650.2605 	DATA 	Keypress: s
650.2624 	EXP 	response: autoDraw = False
650.2625 	EXP 	window1: recordFrameIntervals = False
653.2066 	EXP 	response: autoDraw = True
656.0094 	EXP 	window1: recordFrameIntervals = False
656.0103 	DATA 	Keypress: s
656.0120 	EXP 	response: autoDraw = False
656.0122 	EXP 	window1: recordFrameIntervals = False
658.9552 	EXP 	response: autoDraw = True
660.1910 	EXP 	window1: recordFrameIntervals = False
660.1918 	DATA 	Keypress: s
660.1939 	EXP 	response: autoDraw = False
660.1940 	EXP 	window1: recordFrameIntervals = False
663.1385 	EXP 	response: autoDraw = True
664.9736 	EXP 	window1: recordFrameIntervals = False
664.9744 	DATA 	Keypress: s
664.9764 	EXP 	response: autoDraw = False
664.9765 	EXP 	window1: recordFrameIntervals = False
666.1888 	DATA 	Keypress: escape
668.0620 	EXP 	window1: mouseVisible = True
